ZCTA5_x,ZCTA5_y,visitor_flows_x
53560,53515,64
53560,53516,0
53560,53517,4
53560,53523,1
53560,53527,5
53560,53528,59
53560,53529,1
53560,53531,2
53560,53532,2
53560,53534,0
53560,53544,0
53560,53555,0
53560,53558,3
53560,53559,0
53560,53560,112
53560,53562,74
53560,53571,0
53560,53572,17
53560,53574,0
53560,53575,2
53560,53583,2
53560,53589,0
53560,53590,13
53560,53593,30
53560,53597,13
53560,53598,2
53560,53703,8
53560,53704,22
53560,53705,29
53560,53706,0
53560,53711,49
53560,53713,12
53560,53714,0
53560,53715,13
53560,53716,19
53560,53717,46
53560,53718,1
53560,53719,76
53560,53726,0
53560,53792,0
53560,53911,0
53562,53508,3
53562,53515,6
53562,53516,0
53562,53517,2
53562,53521,0
53562,53523,3
53562,53527,5
53562,53528,106
53562,53529,3
53562,53531,6
53562,53532,43
53562,53534,0
53562,53544,0
53562,53555,0
53562,53558,28
53562,53559,0
53562,53560,12
53562,53562,2356
53562,53571,0
53562,53572,12
53562,53574,0
53562,53575,32
53562,53583,4
53562,53589,18
53562,53590,70
53562,53593,494
53562,53597,203
53562,53598,4
53562,53703,222
53562,53704,265
53562,53705,727
53562,53706,37
53562,53711,521
53562,53713,149
53562,53714,34
53562,53715,194
53562,53716,50
53562,53717,728
53562,53718,41
53562,53719,835
53562,53726,13
53562,53792,0
53562,53911,0
53562,53925,0
53571,53508,0
53571,53515,0
53571,53516,0
53571,53517,0
53571,53521,0
53571,53523,0
53571,53527,0
53571,53528,0
53571,53529,2
53571,53531,0
53571,53532,26
53571,53534,0
53571,53544,0
53571,53555,0
53571,53558,0
53571,53559,0
53571,53560,0
53571,53562,1
53571,53571,0
53571,53572,0
53571,53574,0
53571,53575,0
53571,53583,0
53571,53589,0
53571,53590,19
53571,53593,0
53571,53594,0
53571,53597,10
53571,53598,3
53571,53703,0
53571,53704,14
53571,53705,3
53571,53706,0
53571,53711,0
53571,53713,1
53571,53714,1
53571,53715,1
53571,53716,1
53571,53717,0
53571,53718,5
53571,53719,1
53571,53726,0
53571,53792,0
53571,53911,0
53571,53925,0
53572,53508,40
53572,53515,9
53572,53516,0
53572,53517,20
53572,53521,4
53572,53523,0
53572,53527,7
53572,53528,38
53572,53529,0
53572,53531,1
53572,53532,6
53572,53534,0
53572,53544,0
53572,53555,0
53572,53558,2
53572,53559,2
53572,53560,11
53572,53562,170
53572,53571,0
53572,53572,1298
53572,53574,0
53572,53575,21
53572,53583,5
53572,53589,16
53572,53590,41
53572,53593,248
53572,53594,0
53572,53597,24
53572,53598,0
53572,53703,67
53572,53704,79
53572,53705,167
53572,53706,28
53572,53711,188
53572,53713,78
53572,53714,8
53572,53715,58
53572,53716,22
53572,53717,171
53572,53718,23
53572,53719,373
53572,53726,8
53572,53792,0
53572,53911,0
53572,53925,0
53574,53508,1
53574,53515,0
53574,53516,0
53574,53517,0
53574,53521,0
53574,53523,0
53574,53527,0
53574,53528,0
53574,53529,0
53574,53531,0
53574,53532,0
53574,53534,0
53574,53544,0
