,ZCTA5_x,ZCTA5_y,visitor_flows_x,latitude,longitude,latitude_y,longitude_y
169,53517,53726,0,43.029068,-89.8224054,43.06903430000001,-89.4245627
170,53517,53792,0,43.029068,-89.8224054,43.0772547,-89.430773
171,53517,53911,0,43.029068,-89.8224054,43.3084717,-89.3795835
172,53517,53925,0,43.029068,-89.8224054,43.3447367,-89.0370477
173,53521,53508,8,42.8428148,-89.41746409999999,42.8824665,-89.5686271
174,53521,53515,0,42.8428148,-89.41746409999999,43.1163045,-89.7567693
175,53521,53516,0,42.8428148,-89.41746409999999,42.8052388,-89.9066314
176,53521,53517,0,42.8428148,-89.41746409999999,43.029068,-89.8224054
177,53521,53521,16,42.8428148,-89.41746409999999,42.8428148,-89.41746409999999
178,53521,53528,0,42.8428148,-89.41746409999999,43.1160103,-89.64399240000002
179,53521,53529,0,42.8428148,-89.41746409999999,43.2414003,-89.5025641
180,53521,53531,0,42.8428148,-89.41746409999999,43.0743333,-89.1134166
181,53521,53532,1,42.8428148,-89.41746409999999,43.2306919,-89.3037147
182,53521,53544,0,42.8428148,-89.41746409999999,42.8735021,-89.9159785
183,53521,53555,0,42.8428148,-89.41746409999999,43.3093378,-89.5686271
184,53521,53558,4,42.8428148,-89.41746409999999,43.007604,-89.294221
185,53521,53559,3,42.8428148,-89.41746409999999,43.15161519999999,-89.0752499
186,53521,53562,11,42.8428148,-89.41746409999999,43.1156039,-89.5308903
187,53521,53571,0,42.8428148,-89.41746409999999,43.2709121,-89.3594449
188,53521,53572,3,42.8428148,-89.41746409999999,42.9608139,-89.7192132
189,53521,53574,0,42.8428148,-89.41746409999999,42.8047254,-89.64399240000002
190,53521,53575,192,42.8428148,-89.41746409999999,42.9205564,-89.3795835
191,53521,53589,80,42.8428148,-89.41746409999999,42.9196358,-89.2277026
192,53521,53590,10,42.8428148,-89.41746409999999,43.1912263,-89.18964299999999
193,53521,53593,24,42.8428148,-89.41746409999999,42.999243,-89.5686271
194,53521,53594,0,42.8428148,-89.41746409999999,43.1893806,-88.96053649999999
195,53521,53597,1,42.8428148,-89.41746409999999,43.192794,-89.4553088
196,53521,53598,0,42.8428148,-89.41746409999999,43.2066938,-89.336925
197,53521,53703,11,42.8428148,-89.41746409999999,43.0833196,-89.3724769
198,53521,53704,12,42.8428148,-89.41746409999999,43.1438143,-89.35114949999999
199,53521,53705,35,42.8428148,-89.41746409999999,43.0716332,-89.46003689999999
200,53521,53706,3,42.8428148,-89.41746409999999,43.1054334,-89.42692869999999
